அ. க. நவநீதகிருட்டிணன்‎~19 மின்னூல்கள்
பாலூர் கண்ணப்பமுதலியார்‎~33 மின்னூல்கள்
பாவலரேறு பெருஞ்சித்திரனார்‎~21 மின்னூல்கள்
பாவலர் நாரா. நாச்சியப்பன்‎~41 மின்னூல்கள்
புலவர் கா. கோவிந்தன்‎~61 மின்னூல்கள்
புலவர் குலாம் காதிறு நாவலர்‎~3 மின்னூல்கள்
புலவர் த. கோவேந்தன்‎~41 மின்னூல்கள்
புலவர் முகமது நயினார் மரைக்காயர்‎~2 மின்னூல்கள்
புலியூர்க் கேசிகன்‎~19 மின்னூல்கள்
பூவை. எஸ். ஆறுமுகம்‎~74 மின்னூல்கள்
பேரா. அ. கி. மூர்த்தி‎~22 மின்னூல்கள்
பேரா. அ. திருமலைமுத்துசாமி‎~28 மின்னூல்கள்
பேரா. கா. ம. வேங்கடராமையா‎~18 மின்னூல்கள்
பேரா. சுந்தரசண்முகனார்‎~71 மின்னூல்கள்
பேரா. டாக்டர். ரா. சீனிவாசன்‎~34 மின்னூல்கள்
பேராசிரியர் அ. ச. ஞானசம்பந்தன்‎~40 மின்னூல்கள்
பேராசிரியர் ஆ. கார்மேகக் கோனார்‎~13 மின்னூல்கள்
பேராசிரியர் க. வெள்ளைவாரணனார்‎~26 மின்னூல்கள்
பேராசிரியர் ந. சுப்புரெட்டியார்‎~96 மின்னூல்கள்
பொ. திருகூடசுந்தரம்‎~15 மின்னூல்கள்
மகாவித்வான் ரா. ராகவையங்கார்‎~19 மின்னூல்கள்
மணவை முஸ்தபா‎~29 மின்னூல்கள்
மயிலை சிவ முத்து‎~13 மின்னூல்கள்
முனைவர் சி. பாலசுப்பிரமணியன்‎~38 மின்னூல்கள்
முல்லை முத்தையா‎~21 மின்னூல்கள்ர
ராஜம் கிருஷ்ணன்‎~11 மின்னூல்கள்ல
லா. ச. ராமாமிர்தம்‎~24 மின்னூல்கள்
வடுவூர் துரைசாமி அய்யங்கார்‎~20 மின்னூல்கள்
வல்லிக்கண்ணன்‎~85 மின்னூல்கள்
விந்தன்‎~23 மின்னூல்கள்
